@relation tmp
@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute class {0,1}
@data
0.10810810810810811,0.0,0.009009009009009009,0.46846846846846846,0,0,1.0,1.0,1.0,1.0,0.7931034482758621,0.7892376681614349,0.7,0.6461538461538462,1
0.3076923076923077,0.23076923076923078,0.038461538461538464,0.0,0,0,1.0,1.0,1.0,0.8846153846153846,0.7878787878787878,0.7857142857142857,0.7857142857142857,0.7802197802197802,1
0.5523809523809524,0.17142857142857143,0.0,0.01904761904761905,0,0,1.0,1.0,1.0,1.0,0.8987341772151899,0.8442296759522456,0.8442296759522456,0.8442296759522456,1
0.5333333333333333,0.12380952380952381,0.009523809523809525,0.02857142857142857,0,0,1.0,1.0,1.0,1.0,0.8442296759522456,0.8442296759522456,0.8442296759522456,0.8442296759522456,1
0.3953488372093023,0.3023255813953488,0.0,0.09302325581395349,0,0,1.0,1.0,1.0,1.0,0.9285714285714286,0.8918918918918919,0.8,0.7857142857142857,1
0.2962962962962963,0.2222222222222222,0.037037037037037035,0.037037037037037035,0,0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9166666666666666,0.9047619047619048,0.8872180451127819,1
0.4,0.24,0.04,0.04,0,0,1.0,1.0,0.9943502824858758,0.8594961240310077,0.8333333333333334,0.8137931034482758,0.774869109947644,0.77,1
0.4,0.24,0.04,0.04,0,0,1.0,1.0,0.9943502824858758,0.8594961240310077,0.8333333333333334,0.8137931034482758,0.774869109947644,0.77,1
0.39344262295081966,0.2786885245901639,0.03278688524590164,0.03278688524590164,0,0,1.0,1.0,1.0,1.0,0.8666666666666667,0.7368421052631579,0.6507462686567164,0.6507462686567164,1
0.21359223300970873,0.14563106796116504,0.06796116504854369,0.2524271844660194,0,0,1.0,1.0,1.0,1.0,0.5934744268077602,0.49407846039970393,0.460079324021383,0.460079324021383,1
