@relation tmp
@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute class {0,1}
@data
0.375,0.0,0.0,0.125,0,0,0.9494949494949495,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,0.6666666666666666,0
0.375,0.0,0.0,0.125,0,0,0.9494949494949495,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,0.6666666666666666,0
0.6,0.0,0.0,0.0,0,0,0.9387590652699436,0.9089118660758247,0.907165109034268,0.25,1.0,0.75,0.09283489096573208,0.09108813392417528,0
0.75,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.25,0.0,1.0,0.75,0.09283489096573208,0.09108813392417528,0
0.6,0.0,0.0,0.0,0,0,0.9387590652699436,0.9089118660758247,0.907165109034268,0.25,1.0,0.75,0.09283489096573208,0.09108813392417528,0
0.6666666666666666,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.75,0.5,1.0,1.0,0.5,0.25,0
0.3,0.2,0.0,0.3,0,0,0.9166666666666666,0.9089118660758247,0.907165109034268,0.8928571428571429,0.3333333333333333,0.2,0.16666666666666666,0.14285714285714285,0
0.16279069767441862,0.09302325581395349,0.0,0.06976744186046512,0,0,0.9765258215962441,0.9528301886792453,0.9526315789473684,0.9526315789473684,1.0,1.0,1.0,1.0,0
0.2727272727272727,0.12121212121212122,0.0,0.2727272727272727,0,0,0.9963833634719711,0.9765258215962441,0.9682539682539683,0.9655172413793104,0.6,0.375,0.36363636363636365,0.12121212121212122,0
0.2727272727272727,0.12121212121212122,0.0,0.2727272727272727,0,0,0.9963833634719711,0.9765258215962441,0.9682539682539683,0.9655172413793104,0.6,0.375,0.36363636363636365,0.12121212121212122,0
0.5714285714285714,0.35714285714285715,0.0,0.0,0,0,0.95,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,1.0,0
0.5,0.2857142857142857,0.0,0.0,0,0,0.976878612716763,0.9736842105263158,0.95,0.9331275720164609,1.0,1.0,1.0,1.0,0
0.5,0.2857142857142857,0.0,0.0,0,0,0.976878612716763,0.9736842105263158,0.95,0.9331275720164609,1.0,1.0,1.0,1.0,0
0.29292929292929293,0.30303030303030304,0.0,0.15151515151515152,0,0,0.9765258215962441,0.9701492537313433,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,0
0.3333333333333333,0.3448275862068966,0.0,0.1724137931034483,0,0,0.9765258215962441,0.9701492537313433,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,0
0.5,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.1111111111111111,0.0,1.0,1.0,1.0,0.8888888888888888,0
0.5,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.1111111111111111,0.0,1.0,1.0,1.0,0.8888888888888888,0
0.3,0.3,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.9,0.75,1.0,1.0,1.0,1.0,0
0.5862068965517241,0.1206896551724138,0.0,0.10344827586206896,0,0,0.9964340295466123,0.9951573849878934,0.9951573849878934,0.9868421052631579,1.0,1.0,1.0,1.0,0
0.625,0.25,0.0,0.25,0,0,0.9523809523809523,0.9444444444444444,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
0.4,0.4,0.2,0.0,0,0,0.9089118660758247,0.907165109034268,0.6,0.6,1.0,0.4,0.4,0.09283489096573208,0
1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
0.4,0.4,0.2,0.0,0,0,0.9089118660758247,0.907165109034268,0.6,0.6,1.0,0.4,0.4,0.09283489096573208,0
0.3142857142857143,0.2571428571428571,0.0,0.02857142857142857,0,0,0.9871794871794872,0.9473684210526315,0.9473684210526315,0.9331275720164609,1.0,1.0,1.0,1.0,0
0.3170731707317073,0.17073170731707318,0.0,0.25609756097560976,0,0,0.9809523809523809,0.9809523809523809,0.961456102783726,0.961456102783726,1.0,1.0,1.0,1.0,0
0.375,0.25,0.125,0.0,0,0,0.9089118660758247,0.907165109034268,0.7777777777777778,0.7142857142857143,1.0,1.0,1.0,0.8571428571428571,0
0.375,0.16666666666666666,0.041666666666666664,0.041666666666666664,0,0,0.9406332453825857,0.9406332453825857,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
0.36,0.16,0.04,0.04,0,0,0.9406332453825857,0.9406332453825857,0.9387590652699436,0.9089118660758247,1.0,1.0,1.0,1.0,0
0.375,0.25,0.125,0.0,0,0,0.9089118660758247,0.907165109034268,0.7777777777777778,0.7142857142857143,1.0,1.0,1.0,0.8571428571428571,0
0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,0,0.9406332453825857,0.9089118660758247,0.907165109034268,0.7777777777777778,1.0,1.0,1.0,1.0,0
0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0,0,0.9406332453825857,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
0.25,0.125,0.0,0.1875,0,0,0.9964340295466123,0.9964340295466123,0.9964340295466123,0.9964340295466123,1.0,1.0,1.0,1.0,0
1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
