关键词,模型,类别,准确率,召回率,f-值,样本数,类别,准确率,召回率,f-值,样本数
云南旅游,naivebayes,1,0.61,0.19,0.29,58,0,0.62,0.92,0.74,83
吉祥航空,randomforest,1,1.00,1.00,1.00,41,0,1.00,1.00,1.00,1
动力源,svm,1,0.86,0.95,0.90,19,0,0.96,0.90,0.93,30
长城影视,randomforest,1,1.00,0.99,1.00,125,0,0.80,1.00,0.89,4
百合花,randomforest,1,0.99,1.00,0.99,1001,0,0.76,0.65,0.70,20
all,svm,1,0.92,0.96,0.94,49245,0,0.42,0.26,0.32,5607
二六三,randomforest,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,1
贵人鸟,randomforest,1,1.00,1.00,1.00,71,0,1.00,1.00,1.00,3
深圳能源,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
沈阳化工,randomforest,1,1.00,1.00,1.00,13,0,1.00,1.00,1.00,4
中关村,randomforest,1,1.00,0.80,0.89,20,0,0.78,1.00,0.88,14
煌上煌,randomforest,1,1.00,1.00,1.00,34,0,1.00,1.00,1.00,3
现代投资,naivebayes,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,3
外高桥,naivebayes,1,0.80,0.92,0.86,26,0,0.98,0.94,0.96,99
峨眉山,randomforest,1,0.84,0.90,0.87,744,0,0.78,0.67,0.72,381
帝王洁具,randomforest,avg / total,1.00,1.00,1.00,40,1,1.00,1.00,1.00,40
中兴通讯,randomforest,1,1.00,1.00,1.00,214,0,1.00,1.00,1.00,1
中国建筑,randomforest,1,0.95,1.00,0.97,408,0,0.00,0.00,0.00,23
万里马,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
上海电影,randomforest,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,2
跨境通,svm,1,0.93,0.87,0.90,30,0,0.83,0.91,0.87,22
电科院,randomforest,1,0.89,0.89,0.89,27,0,0.85,0.85,0.85,20
九牧王,randomforest,avg / total,1.00,1.00,1.00,60,1,1.00,1.00,1.00,60
电子城,naivebayes,1,0.91,0.94,0.93,34,0,0.89,0.84,0.86,19
新文化,randomforest,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,1
兔宝宝,naivebayes,1,1.00,1.00,1.00,91,0,1.00,1.00,1.00,7
乐视网,randomforest,1,1.00,1.00,1.00,4753,0,0.88,0.37,0.52,19
阳光股份,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
中国石油,randomforest,1,0.98,0.99,0.98,422,0,0.78,0.61,0.68,23
好当家,randomforest,1,1.00,0.90,0.95,20,0,0.90,1.00,0.95,19
黑牡丹,randomforest,1,1.00,1.00,1.00,9,0,1.00,1.00,1.00,2
杭州高新,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,2
中国软件,svm,1,0.94,0.85,0.89,20,0,0.86,0.95,0.90,19
青岛海尔,randomforest,1,1.00,1.00,1.00,36,0,1.00,1.00,1.00,2
陆家嘴,randomforest,1,0.94,0.99,0.96,211,0,0.75,0.30,0.43,20
